Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines,SG,25,OKC,25,2,19.8,1.8,5.3,0.341,1.3,4.2,0.305,0.5,1.1,0.481,0.462,0.4,0.4,0.909,0.1,1.5,1.6,0.8,0.6,0.2,0.6,1.6,5.3
2,Jaylen Adams,PG,22,ATL,8,0,3.4,0.3,0.8,0.333,0.3,0.6,0.4,0,0.1,0,0.5,0,0,,0,0.4,0.4,0.5,0.1,0.1,0.1,0,0.8
3,Steven Adams,C,25,OKC,27,27,33.5,6.6,11.3,0.589,0,0,,6.6,11.3,0.589,0.589,2.7,5,0.552,4.9,4.9,9.8,1.7,1.4,1,1.5,2.4,16
4,Bam Adebayo,C,21,MIA,29,5,21,2.9,5.3,0.552,0,0.1,0.25,2.9,5.2,0.56,0.555,2.1,3,0.713,2.2,5,7.2,1.8,0.7,1,1.3,2.5,8
5,DeVaughn Akoon-Purcell,SG,25,DEN,7,0,3.1,0.4,1.4,0.3,0,0.6,0,0.4,0.9,0.5,0.3,0.1,0.3,0.5,0.1,0.4,0.6,0.9,0.3,0,0.3,0.6,1
6,LaMarcus Aldridge,C,33,SAS,30,30,32.8,7.5,15.7,0.477,0,0.3,0.1,7.4,15.3,0.485,0.478,3.9,4.7,0.817,3.2,6.4,9.6,2.1,0.5,1.2,2,2.1,18.8
7,Grayson Allen,SG,23,UTA,17,1,9.7,1.2,3.6,0.323,0.6,2.4,0.268,0.5,1.2,0.429,0.411,1.1,1.5,0.72,0.1,0.2,0.3,0.4,0.1,0,0.6,1.1,4.1
8,Jarrett Allen,C,20,BRK,29,29,27.3,4.6,7.8,0.596,0.1,0.7,0.143,4.5,7,0.642,0.602,2.8,3.8,0.736,2.8,5.4,8.1,1.6,0.5,1.4,1.4,2.8,12.1
9,Al-Farouq Aminu,PF,28,POR,29,29,30.1,3.2,7.3,0.445,1.4,4,0.365,1.8,3.3,0.542,0.545,1.6,1.9,0.833,1.4,6.8,8.1,0.7,1,0.4,0.9,2.3,9.5
10,Justin Anderson,SG,25,ATL,12,0,7.5,1.6,3.4,0.463,0.3,1.4,0.176,1.3,2,0.667,0.5,0.7,0.8,0.889,0.5,0.8,1.3,0.5,0.5,0.2,0.3,1,4.1
11,Kyle Anderson,SF,25,MEM,28,25,29.2,2.9,5.9,0.488,0.2,0.6,0.278,2.7,5.3,0.514,0.503,0.8,1.3,0.583,1.2,5.1,6.3,3,1.1,0.8,1.2,2.5,6.7
12,Ryan Anderson,PF,30,PHO,15,8,18.5,1.3,4,0.317,0.5,2.3,0.206,0.8,1.7,0.462,0.375,0.7,0.9,0.786,0.9,2.1,3,1.1,0.2,0.1,0.8,1.5,3.7
13,Ike Anigbogu,C,20,IND,3,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0.3,0.7,1,0.3,0,0.3,0.3,0,0
14,Giannis Antetokounmpo,PF,24,MIL,26,26,34,10,17.1,0.583,0.3,2.3,0.131,9.7,14.7,0.655,0.592,6.3,9.2,0.693,2.7,10.5,13.2,6.1,1.3,1.3,4.2,3.3,26.6
15,Carmelo Anthony,PF,34,HOU,10,2,29.4,4.9,12.1,0.405,2.1,6.4,0.328,2.8,5.7,0.491,0.492,1.5,2.2,0.682,0.9,4.5,5.4,0.5,0.4,0.7,0.8,3.2,13.4
16,OG Anunoby,SF,21,TOR,26,3,20.4,3.1,7.2,0.431,1.1,3.7,0.299,2,3.5,0.571,0.508,0.3,0.9,0.292,0.7,2,2.7,0.5,0.6,0.3,0.7,2.2,7.6
