Player Name,Team,Position,Season,Games Left,PTS,3PM,REB,AST,STL,BLK,TO,DD
Malcolm Brogdon,MIL,PG,2019,3,15.5,1.8,4.5,3.4,0.6,0.2,1.7,0
JJ Redick,PHI,SG,2019,2,18.4,2.8,2.3,3,0.2,0.2,1.5,0
Bogdan Bogdanovic,SAC,SG,2019,2,15.1,2.1,3.3,3.5,0.9,0.1,1.1,0
Serge Ibaka,TOR,PF,2019,4,16.7,0.8,7.4,1.4,0.5,1.4,1.8,0.1
Karl-Anthony Towns,MIN,C,2019,3,21.6,1.9,11.9,2.4,0.9,1.7,3.4,0.6
Jordan Clarkson,CLE,PG,2019,4,16,1.5,3.3,2.1,0.6,0.1,1.5,0
John Collins,ATL,PF,2019,0,18.1,0.6,8.3,2.6,0.1,0.5,2.1,0.5
Enes Kanter,NYK,C,2019,4,14.9,0.1,11.5,2,0.4,0.5,2,0.6
Dario Saric,PHI,PF,2019,2,10.7,1.5,6.1,1.6,0.4,0.2,1.4,0.1
Jusuf Nurkic,POR,C,2019,2,15,0.1,10.6,2.4,1,1.3,2.3,0.5
Tobias Harris,LAC,PF,2019,3,21,1.9,8.2,2.2,0.6,0.5,2,0.3
T.J. Warren,PHO,SF,2019,0,17.4,1.7,4,1.3,0.9,0.8,1.1,0
Damyean Dotson,NYK,SG,2019,2,11.4,1.6,4.3,1,0.9,0.1,1,0
Cory Joseph,IND,PG,2019,2,7.4,0.9,3.5,3.8,1.3,0.3,1.5,0
Myles Turner,IND,C,2019,3,12,0.4,6.7,1.6,0.4,2.8,2.5,0
